Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
301,Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,28,1995,8.2,1,17,4,23.5,2.08,0.49,0.06,0.25,20.2,1,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
302,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,29,1995,22.5,1,20,2,10.0,0.89,0.09,0.05,0.50,13.7,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
303,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,29,1994,3.7,1,5,1,20.0,1.37,0.27,0.20,1.00,24.8,2,0,0,0.7,0.7,0.15,+0.3,+0.3,Matches
304,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,27,1997,18.3,2,22,5,22.7,1.20,0.27,0.09,0.40,17.4,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
305,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
306,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,20,2003,22.3,1,12,4,33.3,0.54,0.18,0.08,0.25,14.2,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
307,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,34,1990,22.7,0,16,4,25.0,0.70,0.18,0.00,0.00,25.2,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
308,Álex Berenguer,es ESP,"FW,MF",Athletic Club,es La Liga,29,1995,26.0,6,51,18,35.3,1.96,0.69,0.12,0.33,18.4,3,0,1,6.8,6.0,0.12,-0.8,0.0,Matches
309,Sander Berge,no NOR,MF,Fulham,eng Premier League,26,1998,24.7,0,3,1,33.3,0.12,0.04,0.00,0.00,8.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
310,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,18,2006,13.5,0,12,2,16.7,0.89,0.15,0.00,0.00,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
311,Medon Berisha,al ALB,MF,Lecce,it Serie A,20,2003,8.0,0,24,6,25.0,3.02,0.75,0.00,0.00,26.7,2,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
312,Mergim Berisha,de GER,"FW,MF",Hoffenheim,de Bundesliga,26,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,16.0,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches
313,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,26,1998,0.4,0,3,1,33.3,6.75,2.25,0.00,0.00,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
314,Adrian Bernabe,es ESP,MF,Parma,it Serie A,23,2001,16.1,1,27,5,18.5,1.67,0.31,0.04,0.20,26.2,7,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
315,Marc Bernal,es ESP,MF,Barcelona,es La Liga,17,2007,2.7,0,2,1,50.0,0.74,0.37,0.00,0.00,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
316,Bernardo,br BRA,DF,Bochum,de Bundesliga,29,1995,19.8,0,8,2,25.0,0.40,0.10,0.00,0.00,8.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
317,Juan Bernat,es ESP,"DF,MF",Villarreal,es La Liga,31,1993,2.4,0,2,1,50.0,0.85,0.42,0.00,0.00,17.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
318,Juan Bernat,es ESP,"MF,DF",Getafe,es La Liga,31,1993,7.8,0,4,0,0.0,0.52,0.00,0.00,,22.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
319,Maxime Bernauer,fr FRA,DF,Saint-Étienne,fr Ligue 1,26,1998,8.5,0,2,0,0.0,0.24,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
320,Antoine Bernede,fr FRA,MF,Hellas Verona,it Serie A,25,1999,6.6,1,4,2,50.0,0.61,0.30,0.25,0.50,21.0,0,0,0,0.8,0.8,0.19,+0.2,+0.2,Matches
321,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,de Bundesliga,25,1998,14.0,7,27,14,51.9,1.92,1.00,0.26,0.50,17.5,0,0,0,4.1,4.1,0.15,+2.9,+2.9,Matches
322,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,eng Premier League,21,2002,27.6,0,3,0,0.0,0.11,0.00,0.00,,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
323,Matúš Bero,sk SVK,MF,Bochum,de Bundesliga,28,1995,28.5,5,31,12,38.7,1.09,0.42,0.16,0.42,17.0,1,0,1,4.0,3.0,0.10,+1.0,+2.0,Matches
